ID,User,Tweet_text,Likes,Retweets
1648286244374446080,Honeyco51044079,"RT @LEEKNOW_INTL: [🗳️] Fantoo Fashionista Idol Event

Quote Fantoo tweet with Lee Know's casual fashion pictures and tags

#패션돌_내최애 #LeeKno…",0,10
1648286239756525568,Dunyukee,"RT @CryptoTownEU: 🚀 Airdrop: Reality VR
💰 Value: 500 $RVR
🏆 Winners: 200 random
👥 Top 50 Referrals: 5,000 $RVR
📊 Contract: PolygonScan
📅 En…",0,169
1648286239622148097,JadaBrevett,this is SO random https://t.co/odzO5yT7M7,0,0
1648286238078541824,nnerimmen,RT @maybeeevirgo: when i get the random urge to tell my mom all my secrets when we’re alone together: https://t.co/PKHYhcWpYl,0,2353
1648286238061805568,rrpshow,"Jada Pinkett and #Netflix Say Cleopatra is Black, Is She?
Random Things You Need to Know
https://t.co/g9Iqn2fcBs
watch, like, share, comment, subscribe",0,0
1648286236648275968,brotherlexis,"RT @Kayjnr10: Living in America everyday feels like your last day on earth charlie, eii.

The random shoot outs almost everyday is really s…",0,115
1648286236061343744,Oh_HeyEllie,RT @JJ_cove: Ahgases really need to stop giving attention and power to random troll accs with less than 5 followers where nobody would've s…,0,12
1648286233964187649,candyxuxij,"RT @diamondgoldgurl: [RT and like very appreciated]

FREEBIES WAYV PHANTOM JAKARTA
For all wayzenni!! 
by @diamondgoldgurl &amp; @SpillTheNa_…",0,98
1648286232017879042,akagami_NC,RT @crackcobain__: White people always good at random sports like fuck you doin bein a professional frisbee player,0,2489
1648286223079964673,Ming_wins2000,"RT @bluechip_io: 💵50 USDT= 💙🔁👤?

Yep! BlueChip is giving away 50 USDT💰 

How?
💙Like this tweet
🔁retweet it
👤Subscribe to @bluechip_io

Winn…",0,2211
1648286222710714369,8inudy,"@ripcitystacks I just don't really get it tbh, just a card with a monopoly logo on it? Just kinda random idk",0,0
1648286221624287234,kiahmariexx,overthinking is gonna ruin our lives we’ve got a girl in Mykonos planning our itinerary and now we’ve all just had a random thought that she’s a sec trafficker planning to kidnap us 🤣🤣🤣🤣🤣,0,0
1648286219019915264,YuolMalual,RT @crackcobain__: White people always good at random sports like fuck you doin bein a professional frisbee player,0,2489
1648286217933410305,jod63uk,RT @CreativeReader3: If my cold ever goes away (yes I am rocking the stuffy nose right now) I might have something coming  your way until m…,0,1
1648286217040203777,immirahae,"RT @Jillyacett_: ‼️LOUIS VUITTON SNEAKERS GIVEAWAY‼️ 
VOTE FOR JAY CHANG until April 18-20

🚩One random winner will be selected of a never…",0,250
1648286214380826625,Ceece360,@McAulayMaduwuba @AnyanwuJudith6 Inukwa?! Elee nke bu hijack? You think you can walk into a Catholic Church on a random Sunday and take over the choir? So the parishioners are supposed to clap after each song? In the middle of mass?,0,0
1648286213323800576,shihab4166,"RT @CryptoTownEU: 🚀 Airdrop: Reality VR
💰 Value: 500 $RVR
🏆 Winners: 200 random
👥 Top 50 Referrals: 5,000 $RVR
📊 Contract: PolygonScan
📅 En…",0,169
1648286210929102850,cestmoi_knsya,"RT @ScottLEOWarrior: I will send one random follower $100 in 24hrs all you have to do is RT and be following myself &amp; @alaska_game

RT thei…",0,5780
1648286210153132033,faerilnd,"RT @jaelvsian: fools | #jakewon

nicholai (jw) has always had a knack for pulling the most random antics on reese (sjy). this time, however…",0,36
1648286205736517633,Jaiya0308,"RT @Jillyacett_: ‼️LOUIS VUITTON SNEAKERS GIVEAWAY‼️ 
VOTE FOR JAY CHANG until April 18-20

🚩One random winner will be selected of a never…",0,250
1648286203785904129,_Finesser,RT @crackcobain__: White people always good at random sports like fuck you doin bein a professional frisbee player,0,2489
1648286201877790721,hoonie_ill,"RT @cocuuji: 🍒OPEN PO FML SEVENTEEN🍒

💎WEVERSE💎
- PB Random:  DP 210k| FP 320k
- PB Set: DP 710k| FP 910k
-Weverse Ver: DP 100k| FP 170k

💎…",0,57
1648286201026342918,ritaayar,RT @wkclea: private relationship with random flexing &gt;&gt;&gt;,0,5158
1648286199495421954,hiyomoony,RT @niggaolas: Mind you Janet Jackson has influenced kpop artists like BoA and many other kpop artists for you to say random sht like this…,0,552
1648286198148784130,woolybaabaa,"RT @Specsavers: ANNOUNCEMENT: We’re going to start using the same method as VAR when it comes to doing eye tests. 

We’ll be closing our ey…",0,163
1648286196630519810,ExcelHomeTutor1,"RT @Starr_gael: Two $25,000 Evaluation Account GIVEAWAY to 2 random followers. 

Courtesy of  @BlueGuardiancom 

Criteria to Win ⬇️

•You M…",0,7
1648286195930259456,softyellowpetal,RT @niggaolas: Mind you Janet Jackson has influenced kpop artists like BoA and many other kpop artists for you to say random sht like this…,0,552
1648286194671964160,nevermird,gd liking nctdream reels is so random...????? 😭 is this a sign that i will finally get gd x mark,0,0
1648286184748072960,C0VEREDINIVY,@ioveeaffairs @m0therariesmoon @jojobestburger_ this comment is fake the account is brand new and the picture is just some random girl off of google,0,0
1648286180151009282,mgigi_,RT @wkclea: private relationship with random flexing &gt;&gt;&gt;,0,5158
1648286177135570947,0hcineneng,"RT @bluechip_io: 💵50 USDT= 💙🔁👤?

Yep! BlueChip is giving away 50 USDT💰 

How?
💙Like this tweet
🔁retweet it
👤Subscribe to @bluechip_io

Winn…",0,2211
1648286170474848256,Gift_Analysis,"RT @Dhavidtips: Massive giveaway on BC games 

Don't have an account?
Register now 👉🏽 https://t.co/K1BiLbjZJt 

Make sure you register and…",0,17
1648286164431044608,FemmeHistorian_,RT @ceciATL: i know this makes me the fun police but i’m kinda getting tired of ppl posting “would you let a man bring you here” pics and p…,0,14
1648286162749128706,jennierubbieee,"RT @bluechip_io: 💵50 USDT= 💙🔁👤?

Yep! BlueChip is giving away 50 USDT💰 

How?
💙Like this tweet
🔁retweet it
👤Subscribe to @bluechip_io

Winn…",0,2211
